Symbol,Name,Sector,Industry,Market Cap,Enterprise Value,PE Ratio (Forward),EV to EBITDA (Forward),PS Ratio (Forward),Price to Book Value
ARC,ARC Document Solutions,Industrials,Business Services,226.0325,392.6605,13.9420,5.4491,0.5255,1.1377
ARCB,ArcBest,Industrials,Trucking,649.3096,579.6996,12.5678,3.1705,0.2427,1.1065
ARDX,Ardelyx,Healthcare,Biotechnology,447.7565,318.7095,None,None,18.6464,3.5783
AREX,Approach Resources,Energy,Oil & Gas E&P,90.6541,605.9281,None,4.9401,0.5709,0.1482
ARI,Apollo Commercial Real,Real Estate,REIT - Diversified,1166.9853,1394.6783,9.5103,None,8.0830,0.8430
ARIA,ARIAD Pharmaceuticals,Healthcare,Biotechnology,1215.2643,1347.3273,None,-6.2089,8.8120,None
ARII,American Railcar Indus,Industrials,Railroads,1090.6537,1569.7847,8.8112,5.9349,1.2484,2.1180
ARNA,Arena Pharmaceuticals,Healthcare,Biotechnology,504.5032,323.2232,None,-3.0493,13.0141,6.1374
AROC,Archrock,Energy,Oil & Gas Equipment & Services,727.7941,2855.4921,15.1884,4.3278,0.2648,0.4006
AROW,Arrow Financial,Financial Services,Banks - Regional - US,364.7716,370.0806,13.9928,None,3.8740,1.7276
ARPI,American Residential Prop,Real Estate,REIT - Residential,528.2653,1299.8323,23.6994,24.8060,4.2599,1.0115
ARR,ARMOUR Residential REIT,Real Estate,REIT - Residential,831.4211,554.9401,5.6355,None,2.6907,0.5857
ARRY,Array BioPharma,Healthcare,Biotechnology,573.3252,522.8362,None,-5.2284,6.8777,23.7884
ARTNA,Artesian Resource,Utilities,Utilities - Regulated Water,229.4916,346.5286,19.8366,9.9606,2.9656,1.7764
ARWR,Arrowhead Research,Healthcare,Biotechnology,320.7099,209.6212,None,-2.6467,621.5307,2.4426
ASC,Ardmore Shipping,Industrials,Shipping & Ports,326.8884,645.1286,8.8669,8.5650,2.2312,0.9375
ASCMA,Ascent Capital Group,Industrials,Security & Protection Services,252.9774,1865.0914,None,5.4415,0.4483,0.7213
ASEI,American Science,Technology,Scientific & Technical Instruments,317.0858,230.0988,40.9630,16.3191,2.4772,2.2342
ASGN,On Assignment,Industrials,Staffing & Outsourcing Services,2498.4439,3254.3249,18.3311,13.7657,1.2169,3.2935
ASMB,Assembly Biosciences,Healthcare,Drug Manufacturers - Major,152.9642,87.1663,None,None,31.2172,1.2198
ASNA,Ascena Retail Group,Consumer Cyclical,Apparel Stores,2103.1715,1965.1715,14.0603,2.8838,0.2884,1.3854
ASPS,Altisource Portfolio,Industrials,Business Services,517.3928,926.2438,5.3620,3.0190,0.5815,5.3820
AST,Asterias Biotherapeutics,Healthcare,Biotechnology,183.3190,159.1130,None,None,None,4.3473
ASTE,Astec Industries,Industrials,Farm & Construction Equipment,883.1721,878.5681,23.6956,10.7906,0.8723,1.4469
AT,Atlantic Power,Utilities,Utilities - Independent Power Producers,249.1470,1441.0470,None,7.8021,0.5123,0.7714
ATEN,A10 Networks,Technology,Communication Equipment,487.0523,386.5283,None,-28.7917,2.4835,6.0176
ATLO,Ames National,Financial Services,Banks - Regional - US,244.8767,241.8341,13.3503,None,5.0783,1.5266
ATNI,Atlantic Tele-Network,Communication Services,Telecom Services,1283.5304,1003.9104,47.2840,6.8140,3.6188,1.8889
ATRA,Atara Biotherapeutics,Healthcare,Biotechnology,965.4407,631.1757,None,None,None,2.8927
ATRC,AtriCure,Healthcare,Medical Instruments & Supplies,671.0676,636.2126,None,-31.3405,5.1680,5.3478
ATRI,Atrion,Healthcare,Medical Instruments & Supplies,711.6417,688.1227,27.7553,None,5.3523,5.1120
ATRO,Astronics,Industrials,Aerospace & Defense,974.5826,1160.6836,13.9046,8.4358,1.3940,3.4318
ATRS,Antares Pharma,Healthcare,Medical Instruments & Supplies,201.2770,153.3872,None,None,4.3817,2.7716
ATSG,Air Transport Services Gr,Industrials,Airports & Air Services,568.9344,863.4204,14.9831,4.3620,0.9464,1.5322
ATU,Actuant,Industrials,Diversified Industrials,1468.4134,1887.8454,19.0064,10.1374,1.2559,2.1819
ATW,Atwood Oceanics,Energy,Oil & Gas Drilling,971.7511,2543.7141,3.7622,4.6623,0.8782,0.3297
AVA,Avista,Utilities,Utilities - Diversified,2172.6416,3829.2346,17.8363,9.4363,1.2593,1.4402
AVAV,AeroVironment,Industrials,Aerospace & Defense,565.1762,347.7082,899.2509,59.8465,2.1249,1.6377
AVD,American Vanguard,Basic Materials,Agricultural Inputs,416.1161,503.4191,75.1053,15.2551,1.4516,1.5676
AVG,AVG Technologies,Technology,Software - Application,1049.4110,1128.6550,12.7707,6.6391,2.4570,12.9857
AVHI,A V Homes,Consumer Cyclical,Residential Construction,312.5940,647.0610,None,None,1.9983,1.0966
AVID,Avid Technology,Technology,Electronic Gaming & Multimedia,259.5413,342.1663,7.5517,5.7353,0.5169,None
AVX,AVX,Technology,Electronic Components,2243.2988,1373.9428,18.0676,6.4900,1.8859,1.0357
AWR,American States Water,Utilities,Utilities - Regulated Water,1516.5074,1830.1154,25.6141,11.4092,3.3091,3.2265
AXAS,Abraxas Petroleum,Energy,Oil & Gas E&P,142.5036,269.7946,None,6.0977,1.7678,0.9434
AXDX,Accelerate Diagnostics,Healthcare,Diagnostics & Research,742.6674,703.6364,None,None,None,18.4803
AXE,Anixter International,Industrials,Industrial Distribution,2209.3398,2879.8398,15.6321,7.9700,0.3537,1.8473
AXL,American Axle & Mfg Hldgs,Consumer Cyclical,Auto Parts,1679.1133,2840.8133,7.6225,5.0442,0.4277,7.4035
AXLL,Axiall,Basic Materials,Chemicals,1329.7291,2548.6291,23.5500,7.5403,0.3585,0.8025
AXON,Axovant Sciences,Healthcare,Biotechnology,1650.8475,1330.6365,None,None,None,5.2863
AYR,Aircastle,Industrials,Rental & Leasing Services,1681.3931,5527.5721,15.8697,7.6288,2.1045,0.9551
AZPN,Aspen Technology,Technology,Software - Application,3539.6338,3358.1378,28.0528,15.0185,7.5515,None
AZZ,AZZ,Industrials,Diversified Industrials,1500.7007,1840.6767,19.2331,10.4034,1.6435,3.3527
B,Barnes Group,Industrials,Diversified Industrials,2119.1940,2176.4210,15.9110,7.6414,1.7444,1.8245
BABY,Natus Medical,Healthcare,Medical Devices,1560.9263,1478.7253,31.0987,18.5770,4.1196,4.0995
BANC,Banc of California,Financial Services,Banks - Regional - US,556.1777,1458.8437,12.7636,None,1.3101,1.2284
BANF,BancFirst,Financial Services,Banks - Regional - US,989.0248,-635.4552,15.0797,None,3.4834,1.5309
BANR,Banner,Financial Services,Banks - Regional - US,1764.0939,1818.5559,18.1214,None,5.7575,2.6283
BAS,Basic Energy Services,Energy,Oil & Gas Equipment & Services,154.6819,987.9719,None,36.4417,0.1904,0.9688
BBCN,BBCN Bancorp,Financial Services,Banks - Regional - US,1444.6916,1739.2896,15.4949,11.6333,4.6390,1.5542
BBG,Bill Barrett,Energy,Oil & Gas E&P,292.2660,983.3470,None,3.9606,0.9916,0.5148
BBOX,Black Box,Technology,Communication Equipment,176.8988,307.8998,None,None,None,0.8572
BBRG,Bravo Brio Restaurant,Consumer Cyclical,Restaurants,158.0049,209.1259,15.5075,5.6936,0.3717,2.5589
BBSI,Barrett Business Services,Industrials,Staffing & Outsourcing Services,301.6239,314.5589,12.1216,7.2246,0.0750,5.9735
BBW,Build-A-Bear Workshop,Consumer Cyclical,Specialty Retail,199.2465,160.5885,12.5789,4.8920,0.5283,2.1134
BBX,BBX Capital,Real Estate,Real Estate Services,285.5870,254.8620,None,None,None,0.8937
BCC,Boise Cascade,Basic Materials,Lumber & Wood Production,1182.9764,1321.4514,20.1788,7.8192,0.3304,2.2030
BCEI,Bonanza Creek Energy,Energy,Oil & Gas E&P,363.7712,1214.1442,None,4.4045,0.9369,0.4666
BCO,Brink's,Industrials,Security & Protection Services,1558.9650,1874.4650,22.0692,6.4525,0.5158,4.2711
BCOR,Blucora,Technology,Internet Content & Information,414.4301,340.1371,11.1713,5.0124,0.8889,0.7736
BCOV,Brightcove,Technology,Software - Application,203.5422,180.4582,None,26.7148,1.5240,2.6336
BCPC,Balchem,Basic Materials,Chemicals,2052.0692,2283.1082,26.7901,None,3.6743,4.4872
BCRX,Biocryst Pharmaceuticals,Healthcare,Biotechnology,735.5691,695.2421,None,-17.3811,14.3531,11.4852
BDBD,Boulder Brands,Consumer Defensive,Packaged Foods,605.6576,871.4426,45.2074,12.9176,1.1845,2.5205
BDC,Belden,Technology,Electronic Components,2595.3884,4270.0744,12.7880,9.7602,1.0975,3.3569
BDE,Black Diamond,Consumer Cyclical,Leisure,150.6595,134.8825,62.6876,-325.0180,0.8940,0.7626
BDGE,Bridge Bancorp,Financial Services,Banks - Regional - US,554.5656,655.7436,17.3370,None,5.0232,1.6290
